Latitude,Longitude,name,address,area
53.33306,-6.24889,St. Kevins Mart,13-14a Kevin Street Uppert,Dublin 8
53.33306,-6.24889,Zagros,18 Blessington Street,Dublin 7
53.33306,-6.24889,Café Java Leeson Street,145 Upper Leeson Street,Dublin 4
53.33306,-6.24889,The Hut,159 Phibsboro Road,Dublin 7
53.33306,-6.24889,Boyers & Co. Ltd,19-22 North Earl Street,Dublin 1
53.33306,-6.24889,McKee Barracks,Blackhorse Avenue,Dublin 7
53.347493,-6.282455,Wuff,23 Benburb Street,Dublin 7
53.33306,-6.24889,Rocca's Take Away,257 Crumlin Road,Dublin 12
53.33306,-6.24889,Havana Tapas Bar Ltd,3 Camden Market,Dublin 8
53.33306,-6.24889,Fine Rice Chinese Take Away,201A Tyrconnell Road,Dublin 8
53.33306,-6.24889,Charleville Lodge,268-272 North Circular Road,Dublin 7
53.33306,-6.24889,KC Deli,17 Berkeley Road,Dublin 7
53.332316,-6.274538,Bistro Café,102 South Circular Road,Dublin 8
53.331135,-6.259136,Hilton Dublin,Charlemont Place,Dublin 2
53.320364,-6.291774,Matt The Rashers,27 Sundrive Road,Dublin 12
53.33306,-6.24889,Londis,199 Tyrconnell Road,Dublin 8
53.323914,-6.276746,Harolds Cross Greyhound Stadium,Harolds Cross,Dublin 6
53.33306,-6.24889,Crumlin Chinese Takeaway,1B At Agnes Road,Dublin 12
53.33306,-6.24889,Quinlans Centra,35 Beau Park Square,Dublin 13
53.33306,-6.24889,Bombay Spice,404 South Circular Road,Dublin 8
53.342742,-6.264202,Dunnes Stores,South Great Georges Street,Dublin 2
53.33306,-6.24889,St. Anthony's House,St. Laurence Road,Clontarf
53.33306,-6.24889,Graham O'Sullivan Restaurant,Unit 5 Northside Shopping Centre,Dublin 17
53.33498,-6.346615,McDonalds,Kylemore Road,Dublin 12
53.33306,-6.24889,Gallaghers Boxty House,20/21 Temple Bar,Dublin 2
53.33306,-6.24889,Seven Social,76 Benburb Street,Dublin 7
53.33306,-6.24889,O'Briens Irish Sandwich Bar,Irish Life Mall,Dublin 1
53.33306,-6.24889,Kilkenny Restaurant,1st Floor,Dublin 3
53.33306,-6.24889,Spar Texaco Express,237 Crumlin Road,Dublin 12
53.33306,-6.24889,McCauleys Rialto House,536-538 South Circular Road,Dublin 8
53.33306,-6.24889,Dunnes Stores,Donaghmede Shopping Centre,Dublin 13
53.33306,-6.24889,Insomnia Coffee Company,IFSC 2 Lower Mayor Street,Dublin 1
53.33306,-6.24889,Spar,145-151 Distillery Building,Dublin 7
53.33306,-6.24889,Mace,St Patricks Court,Dublin 8
53.33306,-6.24889,Londis,174 Walkinstown Roadd,Dublin 12
53.377453,-6.246137,Regency Hotel,Whitehall,Dublin 9
53.33306,-6.24889,Full House Takeaway,60 Clanbrassil Street Lower,Dublin 8
53.351066,-6.251769,The Pantry,64 Talbot Street,Dublin 1
53.33306,-6.24889,Manor Service Station,St Peter's Road,Dublin 12
53.329976,-6.232364,Embassy Grill,172 Pembroke Road,Dublin 4
53.327036,-6.270787,Cathal Brugha Barracks,Rathmines,Dublin 6
53.33306,-6.24889,Pizza Hut Deliveryb,Unit 11 Kilbarrack Shopping Centre,Dublin 5
53.333271,-6.246739,The Mespil Hotel,Mespil Road,Dublin 4
53.389757,-6.271951,Mace,85 Glasnevin Avenue,Dublin 11
53.33306,-6.24889,The Halfway House,Navan Road,Dublin 7
53.33306,-6.24889,The Bagel Factory,Unit 4 Lower Mayor Street,Dublin 7
53.33306,-6.24889,Smock Alley Café,Essex Street West,Dublin 8
53.33306,-6.24889,Mama's Revenge,80B Thomas Street,Dublin 8
53.33306,-6.24889,The Cake Café,Daintree Building,Dublin 8
53.33306,-6.24889,Bleecker Street Café Bar,68 Upper Dorset Street,Dublin 1
53.33306,-6.24889,Sisters Of Mercy (Convent),Eccles Street,Dublin 7
53.33306,-6.24889,Rainbow Chinese Take Away,103 New Cabra Road,Dublin 7
53.33306,-6.24889,Bombay Pantry,Unit 6 Rathbourne Village,Dublin 15
53.33306,-6.24889,Spar,33 Ashtown Grove,Dublin 7
53.33306,-6.24889,The Stoneboat Pub,35-37 Sundrive road,Dublin 12
53.362053,-6.259482,Apache Pizza,Drumcondra,Dublin 9
53.33306,-6.24889,Rhubarb Food & Wine Co,18A Lower Pembroke St,Dublin 2
53.334689,-6.242108,Bondiola Argentina,53 Haddington Road,Dublin 4
53.336959,-6.265705,Solas,31 Wexford Street,Dublin 2
53.337016,-6.265709,The Noodle House,32 Wexford Street,Dublin 2
