Name,Address1,Address2,Area
La Costa,54 Clontarf Road,Clontarf,Dublin 3
Furama,Eirpage House,88 Donnybrook Road,Dublin 4
Casa Pasta & Pizza,Eirpage House,Donnybrook,Dublin 4
Nico Merucci Take Away,289 Richmond Road,,Dublin 3
Abrakebabra,3 The Mall,Donnybrook,Dublin 4
SPAR,54 - 56 Donnybrook Road,Donnybrook,Dublin 4
Donnybrook Tennis Club,Brookvale Road,Donnybrook,Dublin 4
La Caverna,"12 Fownes Street, Upper",Temple Bar,Dublin 2
Borza Take Away,4 Main Street,Donnybrook,Dublin 4
Toscana,3 Cork Hill,Dame Street,Dublin 2
Kiely's Pub,Main Street,Donnybrook,Dublin 4
Radio Telifís Éireann,,Donnybrook,Dublin 4
Foggy Dew Pub,1 Fownes Street,,Dublin 2
Fitzers Temple Bar Square Ltd,40/42 Temple Bar Square,Temple Bar,Dublin 2
Bilash,50 Clontarf Road,Clontarf,Dublin 3
Kennedy's Foodstore,5 Fairview Strand,Fairview,Dublin 3
Nolan's Supermarket,49 Vernon Avenue,Clontarf,Dublin 3
Long's Pub,48 Donnybrook Road,Donnybrook,Dublin 4
"Fenway Inns, t/a The Front Lounge",33/34 Parliament Street,Temple Bar,Dublin 2
"Bourke & Foyle, t/a The Eden Restaurant",Meeting House Square,Temple Bar,Dublin 2
Spar Ballsbridge,6 Merrion Road,Ballsbridge,Dublin 4
Gallaghers Boxty House,20/21 Temple Bar,Temple Bar,Dublin 2
Les Frere Jaques Restaurant,74 Dame Street,Temple Bar,Dublin 2
Harding Hotel,Fishamble Street,Temple Bar,Dublin 2
Kavanaghs,16 Malahide Road,Marino,Dublin 3
Brams Café,4 St. Aidens Park Doar,Marino,Dublin 3
Munches Café,33/34 Sir John Rogerson's Café,,Dublin 2
Month's of Kathmandu,28 Eustace Street,Temple Bar,Dublin 2
Canters Restaurant,9 Fairview Strand,Fairview,Dublin 3
"Clontarf Golf Club, Donnycarney House",Malahide Road,Clontarf,Dublin 3
Donnybrook Fair Ltd,89 Morehampton Road,Donnybrook,Dublin 4
Fragrant River,67 North Strand Road,North Strand,Dublin 3
FXB Restaurant,Crow Street,Temple Bar,Dublin 2
Mary Aikenhead Day Centre,,Donnybrook,Dublin 4
The Schoolhouse Bar and Restaurant,2 - 8 Northumberland Road,,Dublin 4
La Cave,28 South Anne Street,,Dublin 2
Subway,25 Parliament Street,Temple Bar,Dublin 2
