,cash_or_card,city,latitude,longitude,product_category,sale,segment,timestamp
0,card,Dublin,53.339218,-6.240642,Indian,12.0,Restaurants,2019-05-16 06:05:10.018281+00:00
1,card,Dublin,53.34842026,-6.227487177,Indian,12.0,Restaurants,2019-05-16 06:05:10.293982+00:00
2,card,Dublin,53.340714,-6.308191,Cell Phones,551.0,Technology,2019-05-16 06:05:10.572350+00:00
3,cash,Dublin,53.34238835,-6.263249069,Laptops,1765.0,Technology,2019-05-16 06:05:10.850412+00:00
4,card,Dublin,53.35443291,-6.263313442,Laptops,1765.0,Technology,2019-05-16 06:05:11.128797+00:00
5,card,Dublin,53.349013,-6.260311,Kids and Babies,9.7167124112273,Apparel,2019-05-16 06:05:11.406406+00:00
6,cash,Dublin,53.33592955,-6.265190989,Women,52.5090582699209,Apparel,2019-05-16 06:05:11.681594+00:00
7,cash,Dublin,53.359967,-6.264828,Mexican,21.0,Restaurants,2019-05-16 06:05:11.958965+00:00
8,cash,Dublin,53.34690716,-6.29202649,Laptops,1765.0,Technology,2019-05-16 06:05:12.233985+00:00
9,cash,Dublin,53.3392936,-6.266015768,Laptops,1765.0,Technology,2019-05-16 06:05:12.510487+00:00
10,cash,Dublin,53.336485,-6.248174,Cell Phones,551.0,Technology,2019-05-16 06:05:12.788428+00:00
11,card,Dublin,53.34695679,-6.254994571,Women,52.5090582699209,Apparel,2019-05-16 06:05:13.068415+00:00
12,card,Dublin,53.336485,-6.248174,Laptops,1765.0,Technology,2019-05-16 06:05:13.349406+00:00
13,cash,Dublin,53.3476477,-6.24309361,Men,50.4021045689948,Apparel,2019-05-16 06:05:13.624188+00:00
14,cash,Dublin,53.35127979,-6.263774782,Cell Phones,551.0,Technology,2019-05-16 06:05:13.901502+00:00
15,card,Dublin,53.34680228,-6.263313442,Laptops,1765.0,Technology,2019-05-16 06:05:14.179620+00:00
16,cash,Dublin,53.344603,-6.263371,Office Equipment,508.0,Technology,2019-05-16 06:05:14.457878+00:00
17,card,Dublin,53.34397447,-6.249292195,Women,52.5090582699209,Apparel,2019-05-16 06:05:14.727692+00:00
18,card,Dublin,53.33424783,-6.265138686,Women,52.5090582699209,Apparel,2019-05-16 06:05:15.006463+00:00
19,cash,Dublin,53.3362755,-6.257439405,Women,52.5090582699209,Apparel,2019-05-16 06:05:15.275953+00:00
20,card,Dublin,53.343897,-6.29706,Men,50.4021045689948,Apparel,2019-05-16 06:05:15.558276+00:00
21,cash,Dublin,53.3351824,-6.265355945,Meat,12.0,Grocery,2019-05-16 06:05:15.838113+00:00
22,card,Dublin,53.34538679,-6.265047491,Leafy Veggies,16.0,Grocery,2019-05-16 06:05:16.109638+00:00
23,cash,Dublin,53.34716014,-6.257717013,Mexican,21.0,Restaurants,2019-05-16 06:05:16.377970+00:00
24,card,Dublin,53.35301127,-6.26450032,Meat,12.0,Grocery,2019-05-16 06:05:16.649322+00:00
25,cash,cork,51.8839008978,-8.4421673304,Japanese,19.0,Restaurants,2019-05-16 06:05:16.618143+00:00
26,cash,Dublin,53.355473,-6.264423,Women,52.5090582699209,Apparel,2019-05-16 06:05:16.923006+00:00
27,cash,Dublin,53.35002236,-6.2689365,Mexican,21.0,Restaurants,2019-05-16 06:05:17.199040+00:00
28,cash,Dublin,53.34562138,-6.262601316,Kids and Babies,9.7167124112273,Apparel,2019-05-16 06:05:17.474029+00:00
29,card,Dublin,53.35602898,-6.256683022,Laptops,1765.0,Technology,2019-05-16 06:05:17.751239+00:00
30,card,cork,51.9139634239,-8.4532361967,Leafy Veggies,13.0,Grocery,2019-05-16 06:05:17.747612+00:00
31,card,Dublin,53.34571905,-6.261535138,Cell Phones,551.0,Technology,2019-05-16 06:05:18.021483+00:00
32,card,Dublin,53.34736269,-6.26842171,Women,52.5090582699209,Apparel,2019-05-16 06:05:18.295660+00:00
33,card,Dublin,53.35296244,-6.259502023,Laptops,1765.0,Technology,2019-05-16 06:05:18.570860+00:00
34,card,Dublin,53.35032477,-6.2726596,Mexican,21.0,Restaurants,2019-05-16 06:05:18.845743+00:00
35,cash,Dublin,53.338755,-6.262003,Kids and Babies,9.7167124112273,Apparel,2019-05-16 06:05:19.124441+00:00
36,cash,Dublin,53.34736269,-6.26842171,Women,52.5090582699209,Apparel,2019-05-16 06:05:19.396522+00:00
37,cash,Dublin,53.3466958,-6.297288984,Meat,12.0,Grocery,2019-05-16 06:05:19.672765+00:00
38,cash,Dublin,53.34818009,-6.257389784,Women,52.5090582699209,Apparel,2019-05-16 06:05:19.943873+00:00
39,cash,Dublin,53.33883157,-6.262134612,Kids and Babies,9.7167124112273,Apparel,2019-05-16 06:05:20.219977+00:00
40,card,Dublin,53.34033214,-6.265783757,Cell Phones,551.0,Technology,2019-05-16 06:05:20.495147+00:00
41,card,Dublin,53.33366002,-6.258763075,Mexican,21.0,Restaurants,2019-05-16 06:05:20.784229+00:00
42,cash,Dublin,53.34880213,-6.256624013,Office Equipment,508.0,Technology,2019-05-16 06:05:21.060463+00:00
43,cash,Dublin,53.33909021,-6.263350993,Laptops,1765.0,Technology,2019-05-16 06:05:21.338521+00:00
44,card,Dublin,53.3509772,-6.264474839,Mexican,21.0,Restaurants,2019-05-16 06:05:21.619078+00:00
45,cash,Dublin,53.34496807,-6.267253608,Food Grains,4.0,Grocery,2019-05-16 06:05:21.897280+00:00
46,cash,Dublin,53.34102076,-6.263511926,Laptops,1765.0,Technology,2019-05-16 06:05:22.180584+00:00
47,cash,Dublin,53.338776,-6.30395,Laptops,1765.0,Technology,2019-05-16 06:05:22.456417+00:00
48,cash,Dublin,53.34799275,-6.262656301,Women,52.5090582699209,Apparel,2019-05-16 06:05:22.734659+00:00
49,card,Dublin,53.35055212,-6.271338612,Laptops,1652.0,Technology,2019-05-16 06:05:38.617862+00:00
50,cash,Dublin,53.35686542,-6.268160194,Men,68.3551855367661,Apparel,2019-05-16 06:05:38.965355+00:00
51,cash,Dublin,53.35033197,-6.266872734,Mexican,23.0,Restaurants,2019-05-16 06:05:39.248031+00:00
52,cash,Dublin,53.342081,-6.275233,Cell Phones,503.0,Technology,2019-05-16 06:05:39.541229+00:00
53,card,Dublin,53.34308013,-6.263179332,Cell Phones,503.0,Technology,2019-05-16 06:05:39.822281+00:00
54,card,Dublin,53.34495686,-6.272678375,Cell Phones,503.0,Technology,2019-05-16 06:05:40.101461+00:00
55,cash,Dublin,53.34184388,-6.250158548,Laptops,1652.0,Technology,2019-05-16 06:05:40.374382+00:00
56,cash,Dublin,53.33366002,-6.258763075,Women,83.312488048585,Apparel,2019-05-16 06:05:40.644481+00:00
57,card,Dublin,53.33571254,-6.251549274,Korean,17.0,Restaurants,2019-05-16 06:05:40.914258+00:00
58,cash,cork,51.8880714784,-8.5004210975,Japanese,32.0,Restaurants,2019-05-16 06:05:40.927851+00:00
59,card,Dublin,53.34185349,-6.252296269,Office Equipment,24.0,Technology,2019-05-16 06:05:41.182742+00:00
60,card,Dublin,53.34104558,-6.26260668,Indian,39.0,Restaurants,2019-05-16 06:05:41.461058+00:00
61,cash,Dublin,53.35221799,-6.249542981,Laptops,1652.0,Technology,2019-05-16 06:05:41.738913+00:00
62,cash,Dublin,53.34562138,-6.262601316,Korean,17.0,Restaurants,2019-05-16 06:05:42.016814+00:00
63,card,cork,51.8999715716,-8.4702638035,Mexican,17.0,Restaurants,2019-05-16 06:05:42.038631+00:00
64,cash,Dublin,53.34842026,-6.227487177,Men,68.3551855367661,Apparel,2019-05-16 06:05:42.292884+00:00
65,cash,Dublin,53.350079,-6.267755181,Women,83.312488048585,Apparel,2019-05-16 06:05:42.568601+00:00
